year,oranges,tangerines,grapefruit,lemons,limes,apples,apricots,avocados,bananas,blueberries,cantaloupe,cherries,cranberries,grapes,honeydew melons,kiwi,mangoes,peaches,pears,pineapple,papayas,plums,raspberry,strawberries,watermelon,canned,frozen,dried,juice
2004,0.023399277,0.002933622,0.005098649,0.001471771,0.011955404,0.135038941,0.000472019,0.009610878,0.09072485,0.003365201,0.004733243,0.002817457,0.000828896,0.034313065,0.000312954,0.001323063,0.006915184,0.018256309,0.01278073,0.003788969,0.00177585,0.00444843,0.000807363,0.021636586,0.030810676,0.093077863,0.013778365,0.029467789,0.321132043
2005,0.024747882,0.00264621,0.003262041,0.001388107,0.013512738,0.11966015,0.00050162,0.010504982,0.088610802,0.002832687,0.00461867,0.002469831,0.000679871,0.037834481,0.000285785,0.00145194,0.00644193,0.017121771,0.012592712,0.004193465,0.001615474,0.004401003,0.000622452,0.023036538,0.032140218,0.091281257,0.016207332,0.029113869,0.306284189
2006,0.022208104,0.002847726,0.002840506,0.001954177,0.014572043,0.127452215,0.000314489,0.010629067,0.088351414,0.003589103,0.004462156,0.003029294,0.00067692,0.033431014,0.000287625,0.001526313,0.007197159,0.016252952,0.013788806,0.004448567,0.001790181,0.004031083,0.00159079,0.024263189,0.035864761,0.08289249,0.01545975,0.030183875,0.303925106
2007,0.016167388,0.002710173,0.003493056,0.001322951,0.014669432,0.117810165,0.000590748,0.010616624,0.091324432,0.003733303,0.004620243,0.003462869,0.000736569,0.035285486,0.000279557,0.001423964,0.00720741,0.015831538,0.013353993,0.004291889,0.001870508,0.003995297,0.001156383,0.024746976,0.034187336,0.089033309,0.017135071,0.028075595,0.304222312
2008,0.021515424,0.00326405,0.003886062,0.000926757,0.016030481,0.114039321,0.000503413,0.011620553,0.088103951,0.005114806,0.004276836,0.002847969,0.000750276,0.036344862,0.000257575,0.001509399,0.007210702,0.018025614,0.013434703,0.00433969,0.001687683,0.003661955,0.000987303,0.02548314,0.036928783,0.084551657,0.015161057,0.028623245,0.282820178
2009,0.019631644,0.003344509,0.003441733,0.001471091,0.016469205,0.116292776,0.000519864,0.012875441,0.077458295,0.006103144,0.004362894,0.004444716,0.00065724,0.033694504,0.000247024,0.001632014,0.006917315,0.015650241,0.013771043,0.004349923,0.002063961,0.002902505,0.001700366,0.028329666,0.035405678,0.084394603,0.015782315,0.026413322,0.281259478
2010,0.020984018,0.003996061,0.003402583,0.001314125,0.016612467,0.109588139,0.000469725,0.012112016,0.090137591,0.00713192,0.004116912,0.003716581,0.000437454,0.034803293,0.00025481,0.001611576,0.007663806,0.016789372,0.012531461,0.004872111,0.00201316,0.003089508,0.001299715,0.028562856,0.037257243,0.084146217,0.015978803,0.028146815,0.265066539
2011,0.021589721,0.004213159,0.003342674,0.001630991,0.016183109,0.110806581,0.000472425,0.015452508,0.089860946,0.008206183,0.004173607,0.003706699,0.000461042,0.032277515,0.000245322,0.001877017,0.008685683,0.015861914,0.013858728,0.004890024,0.001809565,0.003434712,0.002004148,0.02909366,0.032803785,0.076548028,0.015208695,0.029106327,0.24117346
2012,0.022678524,0.004233593,0.002920845,0.001857392,0.016593918,0.114948207,0.000390829,0.016988512,0.09494624,0.008540925,0.003625413,0.004270167,0.000489489,0.033282151,0.000226989,0.001772534,0.008528937,0.013882172,0.011916891,0.005490619,0.001668296,0.002485083,0.002065132,0.03100113,0.032946797,0.073114274,0.014349543,0.027901163,0.253330881
2013,0.022496672,0.004203426,0.003444942,0.001639489,0.019138977,0.124115575,0.00041438,0.016786054,0.098795937,0.008639394,0.003984117,0.002799931,0.000616511,0.034092667,0.00024656,0.00157421,0.009843251,0.010927114,0.012236556,0.005762022,0.001889167,0.002242553,0.002155418,0.031051808,0.036552576,0.081727397,0.014757645,0.028017038,0.263963069
